Player,PTS,TRB,AST,STL,BLK,TOV,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Predicted_Success,Rating_0_100,Rank
Yaxel Lendeborg,23.4,10.3,5.3,2.3,2.0,1.6,0.746,13.5,20.5,3.1,5.2,9.1,20.0,0.890799330380758,89.1,1
Hannes Steinbach,22.6,15.0,3.4,0.9,1.3,2.2,0.693,20.7,17.4,1.3,3.4,11.7,21.9,0.7259601966487865,72.6,2
Kingston Flemings,20.4,4.5,6.8,2.8,0.4,2.9,0.692,6.2,33.0,4.2,1.2,16.3,22.2,0.7045406681978368,70.5,3
Cameron Boozer,30.8,13.5,4.9,2.2,1.2,2.3,0.653,17.9,25.4,3.1,3.4,8.8,31.2,0.6975817464784942,69.8,4
Aday Mara,18.5,14.8,3.6,0.5,4.8,4.3,0.61,19.4,14.0,0.7,12.5,22.0,22.5,0.6786538715032628,67.9,5
Henri Veesaar,21.9,11.8,2.2,0.7,1.8,2.1,0.7,15.7,11.5,1.0,4.3,11.9,19.5,0.6706585804015399,67.1,6
Caleb Wilson,26.3,14.0,3.3,2.0,1.6,2.3,0.614,18.7,17.4,2.8,3.8,9.8,29.4,0.647103233165712,64.7,7
Labaron Philon Jr.,30.9,5.2,7.7,1.6,0.5,3.9,0.659,6.2,37.6,2.1,1.1,14.2,30.8,0.6283689245213776,62.8,8
Darryn Peterson,29.3,5.7,4.2,1.9,1.1,1.5,0.651,7.7,27.4,2.9,3.3,6.3,31.5,0.5873063708362884,58.7,9
Bennett Stirtz,19.0,2.9,5.3,1.8,0.2,1.8,0.637,4.8,25.4,2.8,0.6,10.7,22.8,0.5811283145053547,58.1,10
AJ Dybantsa,27.7,9.2,4.3,1.7,0.6,2.9,0.623,12.5,20.8,2.4,1.7,11.4,30.8,0.555725681497613,55.6,11
Darius Acuff Jr.,22.6,3.8,7.6,1.1,0.5,2.3,0.588,5.2,33.4,1.5,1.2,10.5,25.4,0.5471291320772698,54.7,12
Koa Peat,21.4,7.5,4.3,1.5,1.0,2.4,0.583,10.3,17.8,2.1,2.8,11.5,24.0,0.5373484402211115,53.7,13
Cameron Carr,26.8,6.9,1.4,0.7,2.1,2.4,0.672,9.7,6.4,1.0,5.1,10.6,25.4,0.5370562630117022,53.7,14
Keaton Wagler,19.3,6.2,4.2,0.9,0.3,1.7,0.61,8.4,16.9,1.3,0.9,9.9,21.1,0.5031824321944018,50.3,15
Neoklis Avdalas,19.0,4.6,6.5,1.0,1.0,2.5,0.556,6.4,28.6,1.4,2.8,12.8,24.2,0.49782997201189577,49.8,16
Isaiah Evans,19.6,5.0,2.7,1.0,1.9,1.9,0.564,6.6,11.2,1.4,5.3,9.6,23.2,0.48327094082288613,48.3,17
Nate Ament,22.9,10.1,4.0,2.1,0.1,3.9,0.52,13.9,18.1,3.0,0.4,15.1,30.6,0.4808690991987127,48.1,18
Meleek Thomas,21.5,5.8,4.9,2.2,0.1,1.5,0.509,7.8,20.5,3.1,0.4,6.4,26.7,0.47374676884529937,47.4,19
Tounde Yessoufou,23.6,7.6,1.6,2.7,0.7,2.2,0.552,10.5,8.1,3.7,1.8,9.4,27.0,0.4713359699944909,47.1,20
Mikel Brown Jr.,24.4,4.4,7.5,1.2,0.1,3.5,0.552,5.8,32.6,1.6,0.4,13.8,29.7,0.46908852388808275,46.9,21
Patrick Ngongba II,19.4,10.6,3.2,1.2,2.3,1.8,0.69,14.8,15.6,1.3,7.7,16.9,20.4,0.4640291641133904,46.4,22
Thomas Haugh,20.3,7.7,3.0,0.7,0.8,2.9,0.599,10.0,13.5,1.0,2.1,14.5,21.9,0.4601339307760215,46.0,23
Dame Sarr,12.8,7.7,2.2,2.9,0.4,2.0,0.516,10.2,8.4,4.1,1.0,13.9,17.3,0.4444330832970226,44.4,24
Braylon Mullins,20.0,6.0,2.1,1.1,0.7,2.1,0.577,8.8,9.9,1.6,2.0,10.8,24.9,0.42018182690614697,42.0,25
Chris Cenac Jr.,16.3,13.0,1.1,0.8,1.1,2.8,0.533,18.0,5.1,1.2,3.6,15.6,22.8,0.39555626614717093,39.6,26
